2026-06-06 02:16:39 | INFO     | fii.ingestion                | QC_PASS     | Bronze | Multiple sources (≥ 2)
2026-06-06 02:16:39 | INFO     | fii.ingestion                | QC_PASS     | Bronze | Schema: 17 columns
2026-06-06 02:16:39 | INFO     | fii.ingestion                | QC_PASS     | Bronze | Null title < 5%
2026-06-06 02:16:39 | INFO     | fii.ingestion                | QC_PASS     | Bronze | Null content < 30%
2026-06-06 02:16:39 | INFO     | fii.ingestion                | QC_PASS     | Bronze | article_id non-empty
2026-06-06 02:16:39 | INFO     | fii.ingestion                | QC_PASS     | Bronze | content_hash non-empty
2026-06-06 02:16:39 | INFO     | fii.ingestion                | FREEZE_OK   | /Users/fabicampanari/Desktop/project-fii-marketing-intelligence-platform/__notebooks/data/external/rss_fii_articles.parquet | records=60
2026-06-06 02:16:39 | INFO     | fii.ingestion                | FREEZE_OK   | /Users/fabicampanari/Desktop/project-fii-marketing-intelligence-platform/__notebooks/data/external/portal_fii_articles.parquet | records=97
2026-06-06 02:16:39 | INFO     | fii.ingestion                | FREEZE_OK   | /Users/fabicampanari/Desktop/project-fii-marketing-intelligence-platform/__notebooks/data/bronze/bronze_all_sources.parquet | records=157
2026-06-06 02:25:45 | INFO     | fii.ingestion                | SPARK_START | app=Investor-Intelligence-Platform-FIIs_silver | version=3.5.1
2026-06-06 02:25:53 | INFO     | fii.ingestion                | QC_PASS     | silver_layer | 33
2026-06-06 02:26:40 | INFO     | fii.ingestion                | SPARK_START | app=Investor-Intelligence-Platform-FIIs_tfidf | version=3.5.1
2026-06-06 02:29:10 | INFO     | fii.ingestion                | SPARK_START | app=Investor-Intelligence-Platform-FIIs_tfidf | version=3.5.1
2026-06-06 02:29:12 | INFO     | fii.ingestion                | SPARK_START | app=Investor-Intelligence-Platform-FIIs_tfidf | version=3.5.1
2026-06-06 02:36:16 | INFO     | fii.ingestion                | SPARK_START | app=Investor-Intelligence-Platform-FIIs_tfidf | version=3.5.1
2026-06-06 09:30:10 | INFO     | fii.ingestion                | SOURCE_OK   | infomoney.com.br | articles=5
2026-06-06 09:30:11 | WARNING  | fii.ingestion                | SOURCE_FAIL | valorinveste.globo.com | RSS bozo: <unknown>:6:38: undefined entity
2026-06-06 09:30:13 | INFO     | fii.ingestion                | SOURCE_OK   | moneytimes.com.br | articles=6
2026-06-06 09:30:14 | INFO     | fii.ingestion                | SOURCE_OK   | seudinheiro.com | articles=8
2026-06-06 09:30:16 | INFO     | fii.ingestion                | SOURCE_OK   | exame.com | articles=5
2026-06-06 09:30:19 | INFO     | fii.ingestion                | SOURCE_OK   | cnnbrasil.com.br | articles=35
2026-06-06 09:30:21 | INFO     | fii.ingestion                | SOURCE_OK   | sunoresearch.com.br | articles=7
2026-06-06 09:30:23 | INFO     | fii.ingestion                | SOURCE_OK   | einvestidor.estadao.com.br | articles=1
2026-06-06 09:30:25 | INFO     | fii.ingestion                | SOURCE_OK   | neofeed.com.br | articles=1
2026-06-06 09:30:33 | INFO     | fii.ingestion                | SOURCE_OK   | fundsexplorer.com.br | articles=18
2026-06-06 09:30:36 | INFO     | fii.ingestion                | SOURCE_OK   | statusinvest.com.br | articles=12
2026-06-06 09:30:38 | INFO     | fii.ingestion                | SOURCE_OK   | clubefii.com.br | articles=11
2026-06-06 09:30:41 | INFO     | fii.ingestion                | SOURCE_OK   | fiis.com.br | articles=15
2026-06-06 09:30:44 | WARNING  | fii.ingestion                | SOURCE_FAIL | thecap.com.br | HTTPSConnectionPool(host='thecap.com.br', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("HT
2026-06-06 09:30:44 | WARNING  | fii.ingestion                | RETRY       | thecap.com.br | 1/3
2026-06-06 09:30:46 | WARNING  | fii.ingestion                | SOURCE_FAIL | thecap.com.br | HTTPSConnectionPool(host='thecap.com.br', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("HT
2026-06-06 09:30:46 | WARNING  | fii.ingestion                | RETRY       | thecap.com.br | 2/3
2026-06-06 09:30:50 | WARNING  | fii.ingestion                | SOURCE_FAIL | thecap.com.br | HTTPSConnectionPool(host='thecap.com.br', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("HT
2026-06-06 09:30:53 | INFO     | fii.ingestion                | SOURCE_OK   | investidor10.com.br | articles=25
2026-06-06 09:30:56 | INFO     | fii.ingestion                | SOURCE_OK   | euqueroinvestir.com | articles=19
